Serie;id;Nombre;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Municipios;0148;Arganda del Rey;21.651,00;22.210,00;21.249,00;17.564,00;12.691,00;13.811,00;14.275,00;12.155,00;13.719,00;14.415,00;16.556,00;17.292,00;19.157,00;17.761,00;18.094,00;12.951,00;14.974,00;14.855,00;14.582,00;14.023,00;
Municipios;0151;Arroyomolinos;4.122,00;5.241,00;6.686,00;5.407,00;5.113,00;5.740,00;5.339,00;4.674,00;4.626,00;5.829,00;6.067,00;6.319,00;7.660,00;8.130,00;8.009,00;6.009,00;7.654,00;8.803,00;6.894,00;7.783,00;
Municipios;0164;Atazar (El);239,00;272,00;198,00;167,00;126,00;74,00;164,00;81,00;198,00;88,00;94,00;117,00;130,00;151,00;123,00;184,00;88,00;129,00;172,00;144,00;
Municipios;0170;Batres;287,00;219,00;186,00;140,00;128,00;147,00;112,00;77,00;139,00;214,00;247,00;585,00;376,00;647,00;1.390,00;1.580,00;2.042,00;1.099,00;296,00;190,00;
Municipios;0186;Becerril de la Sierra;414,00;646,00;556,00;424,00;414,00;363,00;507,00;521,00;461,00;502,00;612,00;609,00;656,00;781,00;652,00;423,00;666,00;899,00;741,00;610,00;
Municipios;0199;Belmonte de Tajo;2.543,00;2.398,00;1.241,00;2.974,00;4.047,00;1.272,00;814,00;1.433,00;1.075,00;479,00;510,00;397,00;362,00;618,00;397,00;1.654,00;739,00;680,00;526,00;447,00;
Municipios;0210;Berrueco (El);228,00;253,00;314,00;646,00;517,00;174,00;238,00;140,00;152,00;201,00;366,00;369,00;416,00;279,00;375,00;422,00;325,00;444,00;369,00;504,00;
Municipios;0203;Berzosa del Lozoya;842,00;653,00;1.039,00;540,00;385,00;610,00;500,00;482,00;403,00;299,00;356,00;872,00;966,00;266,00;316,00;301,00;342,00;463,00;665,00;713,00;
Municipios;0225;Boadilla del Monte;7.257,00;8.645,00;8.867,00;7.924,00;7.366,00;10.277,00;11.061,00;11.294,00;11.871,00;15.077,00;15.908,00;14.984,00;17.973,00;17.363,00;22.157,00;12.362,00;14.876,00;14.122,00;14.457,00;11.995,00;
Municipios;0231;Boalo (El);733,00;1.943,00;2.550,00;810,00;753,00;598,00;753,00;556,00;788,00;801,00;719,00;973,00;1.290,00;862,00;877,00;693,00;871,00;859,00;945,00;792,00;
Municipios;0246;Braojos;45,00;43,00;53,00;40,00;39,00;34,00;40,00;54,00;76,00;104,00;220,00;242,00;143,00;141,00;182,00;171,00;184,00;163,00;159,00;185,00;
Municipios;0259;Brea de Tajo;121,00;186,00;394,00;331,00;258,00;185,00;157,00;91,00;121,00;170,00;168,00;129,00;216,00;245,00;234,00;213,00;352,00;300,00;274,00;292,00;
Municipios;0262;Brunete;1.928,00;1.812,00;1.525,00;1.723,00;1.536,00;1.946,00;1.750,00;1.682,00;1.693,00;2.006,00;2.099,00;1.897,00;2.166,00;1.994,00;2.257,00;1.328,00;1.883,00;1.782,00;1.254,00;1.214,00;
Municipios;0278;Buitrago del Lozoya;594,00;867,00;569,00;950,00;614,00;520,00;488,00;404,00;494,00;539,00;906,00;893,00;1.051,00;1.389,00;1.507,00;963,00;1.209,00;795,00;723,00;916,00;
