Serie;id;Nombre;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;1006;Nuevo Baztán;1.057,00;1.083,27;1.130,03;1.122,37;1.152,38;1.195,03;1.234,98;1.268,20;1.285,30;1.363,31;1.357,02;1.431,52;
Municipios;1013;Olmeda de las Fuentes;794,56;858,00;849,56;923,64;924,94;1.007,41;1.077,41;1.039,40;1.050,40;1.224,67;1.273,28;1.350,36;
Municipios;1028;Orusco de Tajuña;818,19;845,35;882,28;882,76;917,54;938,76;941,98;985,70;995,80;1.027,00;1.031,59;1.089,93;
Municipios;1049;Paracuellos de Jarama;1.188,83;1.220,64;1.273,78;1.275,53;1.292,07;1.334,06;1.375,09;1.400,10;1.421,60;1.509,32;1.516,40;1.579,46;
Municipios;1065;Parla;943,15;970,61;1.006,64;1.020,68;1.035,68;1.064,61;1.099,51;1.119,60;1.132,20;1.201,70;1.204,04;1.256,81;
Municipios;1071;Patones;998,95;1.073,16;1.130,63;1.179,93;1.184,49;1.223,36;1.234,55;1.272,20;1.313,40;1.312,98;1.282,54;1.338,44;
Municipios;1087;Pedrezuela;993,73;1.031,94;1.056,37;1.095,43;1.128,74;1.156,35;1.187,98;1.233,50;1.267,00;1.371,95;1.364,65;1.437,36;
Municipios;1090;Pelayos de la Presa;877,83;897,74;922,63;927,74;933,59;946,94;1.011,17;1.018,50;1.046,50;1.099,63;1.131,49;1.191,70;
Municipios;1104;Perales de Tajuña;831,82;851,49;890,69;906,16;909,96;947,02;973,57;989,90;1.011,80;1.073,10;1.091,19;1.141,64;
Municipios;1111;Pezuela de las Torres;770,40;797,16;828,93;853,10;882,60;911,16;963,91;989,40;1.019,60;1.104,78;1.138,42;1.224,39;
Municipios;1126;Pinilla del Valle;858,17;896,21;926,92;938,94;966,57;1.000,95;1.015,10;1.029,90;1.064,60;1.230,16;1.327,22;1.461,80;
Municipios;1132;Pinto;1.049,65;1.078,40;1.122,64;1.138,98;1.158,68;1.200,49;1.244,15;1.268,50;1.291,80;1.368,42;1.373,06;1.439,39;
Municipios;1147;Piñuécar-Gandullas;947,04;955,05;949,50;1.019,33;1.017,78;1.056,38;1.117,36;1.187,20;1.216,30;1.097,67;1.133,24;1.178,09;
Municipios;1150;Pozuelo de Alarcón;1.309,81;1.353,07;1.398,97;1.421,91;1.444,81;1.489,72;1.534,45;1.576,10;1.612,30;1.701,24;1.709,59;1.796,02;
Municipios;1163;Pozuelo del Rey;769,52;839,17;867,99;951,00;1.005,55;1.018,81;1.096,61;1.096,30;1.097,80;1.151,12;1.154,85;1.238,40;
Municipios;1179;Prádena del Rincón;993,63;1.007,70;1.024,89;1.040,87;947,71;970,08;853,37;807,90;825,10;929,02;978,00;1.090,89;
Municipios;1185;Puebla de la Sierra;1.142,40;1.158,30;1.246,64;1.117,83;1.072,39;1.005,71;1.075,83;1.234,30;1.242,20;1.225,86;1.181,46;-;
Municipios;9020;Puentes Viejas;930,80;985,47;949,64;952,82;970,24;989,83;1.035,56;1.034,80;1.042,90;1.072,36;1.028,40;1.144,86;
Municipios;1198;Quijorna;1.022,34;1.077,15;1.120,04;1.118,39;1.142,49;1.197,71;1.195,48;1.202,80;1.209,90;1.271,37;1.283,54;1.347,65;
Municipios;1202;Rascafría;888,81;906,93;954,74;1.007,34;1.028,02;1.060,38;1.074,04;1.105,80;1.141,10;1.225,75;1.220,30;1.285,35;
Municipios;1219;Redueña;1.025,15;1.040,17;1.126,06;1.158,05;1.205,60;1.226,97;1.191,41;1.261,00;1.286,30;1.348,73;1.366,54;1.392,40;
Municipios;1224;Ribatejada;936,85;982,86;1.029,33;1.064,28;1.068,41;1.111,76;1.112,01;1.144,00;1.178,00;1.275,71;1.298,66;1.277,57;
Municipios;1230;Rivas-Vaciamadrid;1.110,25;1.143,24;1.208,46;1.241,01;1.275,70;1.331,00;1.382,98;1.424,00;1.458,00;1.551,37;1.572,52;1.649,87;
Municipios;1245;Robledillo de la Jara;1.117,42;1.195,43;1.386,41;1.207,54;1.128,55;1.171,04;1.226,84;1.190,20;1.191,50;1.324,90;1.444,16;1.394,97;
Municipios;1258;Robledo de Chavela;903,66;927,43;986,39;1.017,63;1.037,82;1.075,00;1.101,75;1.124,40;1.145,60;1.206,68;1.218,81;1.310,76;
Municipios;1261;Robregordo;647,23;743,74;683,55;713,57;718,50;743,89;787,16;819,60;827,80;830,68;887,33;945,62;
Municipios;1277;Rozas de Madrid (Las);1.336,69;1.384,17;1.430,58;1.460,51;1.490,19;1.537,57;1.585,06;1.625,60;1.647,30;1.733,90;1.737,96;1.809,44;
Municipios;1283;Rozas de Puerto Real;761,73;774,26;783,42;799,43;821,79;847,57;859,93;893,70;964,40;975,06;1.012,54;1.076,32;
Municipios;1296;San Agustín del Guadalix;1.061,57;1.101,08;1.161,90;1.172,36;1.189,14;1.230,15;1.264,72;1.319,50;1.345,60;1.423,21;1.440,22;1.490,41;
Municipios;1300;San Fernando de Henares;1.000,61;1.031,57;1.084,58;1.107,81;1.137,18;1.186,34;1.225,81;1.253,60;1.285,10;1.362,24;1.370,04;1.432,24;
Municipios;1317;San Lorenzo de El Escorial;1.005,76;1.043,70;1.099,78;1.122,12;1.140,39;1.177,18;1.216,55;1.249,40;1.282,80;1.347,63;1.366,80;1.427,79;
Municipios;1338;San Martín de Valdeiglesias;838,67;863,57;897,65;917,68;931,72;960,99;998,25;1.024,00;1.038,00;1.096,72;1.109,39;1.152,17;
Municipios;1322;San Martín de la Vega;904,34;928,05;956,93;971,08;988,85;1.015,46;1.058,20;1.077,00;1.105,90;1.165,66;1.178,32;1.233,87;
Municipios;1343;San Sebastián de los Reyes;1.061,30;1.100,22;1.147,44;1.173,88;1.194,65;1.235,96;1.278,27;1.309,40;1.333,70;1.403,82;1.409,27;1.479,33;
Municipios;1356;Santa María de la Alameda;879,66;891,51;918,14;936,03;977,39;1.043,61;1.083,60;1.075,00;1.114,70;1.189,46;1.232,97;1.268,71;
Municipios;1369;Santorcaz;954,51;987,58;968,09;982,01;999,32;1.023,38;1.029,63;1.048,90;1.070,20;1.150,71;1.143,60;1.208,00;
